caseid,policy_gun,policy_cappun,policy_pot,policy_prostitute,policy_healthcare,policy_taxcut,policy_affect,policy_nuke,policy_warming,policy_draft,pk_house,pk_senate,pk_ag,pk_senleader,pk_justice,pk_override,pk_nominate,pk_term,pk_conservparty,birthyr,gender,pid7,pid3_t,pid3,race,race_other,educ,marstat,employ,employ_t,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,religpew_t,religpew_protestant,ideo5,newsint,faminc,votereg,inputstate
153139753,4,2,5,2,6,6,5,5,5,1,1,1,5,2,5,2,1,1,2,1991,2,3,__NA__,3,1,__NA__,3,5,2,__NA__,2,4,5,6,10,__NA__,99,1,2,1,1,36
153161399,2,1,4,3,5,6,4,4,4,1,2,1,4,2,5,2,1,4,2,1968,1,3,__NA__,3,2,__NA__,4,3,1,__NA__,2,2,5,6,11,__NA__,99,2,1,4,1,6
153234923,6,2,5,5,6,6,5,1,6,2,2,2,4,4,2,2,2,1,2,1962,1,3,__NA__,3,1,__NA__,5,1,1,__NA__,2,4,5,6,1,__NA__,2,2,1,7,1,37
153258957,5,6,6,4,5,6,4,4,4,1,1,1,4,8,8,2,3,4,3,1958,2,4,__NA__,3,1,__NA__,5,1,9,__NA__,2,3,6,6,2,__NA__,99,3,2,9,1,33
153275788,6,4,3,2,6,6,5,4,6,5,2,1,4,2,5,3,1,4,2,1947,2,3,__NA__,3,1,__NA__,2,1,5,__NA__,2,4,6,3,11,__NA__,99,3,1,4,1,51
153283214,5,2,6,5,5,6,4,2,5,3,2,1,4,2,5,2,1,4,2,1954,1,3,__NA__,3,1,__NA__,3,4,6,__NA__,2,3,6,2,12,__NA__,99,3,1,3,1,6
153283281,5,1,6,4,6,6,3,2,6,3,2,2,4,2,4,2,1,4,2,1981,2,3,__NA__,3,1,__NA__,5,6,8,__NA__,2,4,6,6,12,__NA__,99,1,2,3,1,29
153288682,6,3,6,6,6,6,6,1,6,6,1,2,4,2,2,2,1,4,3,1982,2,3,__NA__,3,6,__NA__,2,5,2,__NA__,2,4,6,7,9,__NA__,99,1,1,8,1,48
153292861,6,1,6,4,6,6,6,1,6,1,1,1,4,2,5,2,1,1,2,1953,1,4,__NA__,3,1,__NA__,2,5,9,__NA__,2,4,6,7,9,__NA__,99,1,1,2,1,23
153303518,6,1,1,1,1,5,1,6,1,6,3,3,4,2,2,1,1,2,3,1973,2,4,__NA__,3,1,__NA__,2,5,6,__NA__,2,4,7,8,11,__NA__,99,6,7,1,1,17
153305139,5,2,4,4,6,6,6,2,6,5,2,1,4,1,5,8,1,4,2,1961,2,3,__NA__,3,6,__NA__,3,5,1,__NA__,2,1,6,1,2,__NA__,99,3,1,2,1,6
153305412,6,2,6,6,6,6,1,5,5,1,2,2,4,2,2,2,1,2,2,1962,2,3,__NA__,3,1,__NA__,3,3,2,__NA__,2,4,6,7,9,__NA__,4,2,1,4,1,12
153307919,2,2,6,1,1,6,6,1,4,6,2,1,4,2,5,2,1,4,2,1957,2,4,__NA__,3,3,__NA__,4,2,1,__NA__,2,1,5,1,2,__NA__,99,2,1,97,1,35
153312494,6,6,1,6,6,6,6,3,5,2,2,2,2,2,1,2,1,4,2,1953,2,4,__NA__,3,2,__NA__,3,1,5,__NA__,2,4,6,7,9,__NA__,99,1,2,6,1,17
152246025,4,4,3,3,4,3,4,2,5,1,8,2,8,8,8,1,3,1,2,1965,2,6,__NA__,2,3,__NA__,3,1,1,__NA__,2,1,3,2,2,__NA__,99,3,4,10,1,12
152249075,3,5,6,2,4,5,4,4,3,3,1,2,1,4,2,2,2,4,3,1975,2,6,__NA__,2,1,__NA__,3,1,1,__NA__,1,1,6,1,1,__NA__,3,4,2,7,1,12
152286427,6,3,1,1,2,6,4,3,6,3,2,2,4,2,2,2,3,2,2,1944,2,7,__NA__,2,1,__NA__,2,1,5,__NA__,1,1,2,1,1,__NA__,8,5,2,6,1,8
